conversation_id,customer_message,intent_label,decision_label,predicted_intent,predicted_decision,decision_reason,draft_reply,retrieved_conversation_ids
1215433,Customer message 1: Dear @115850 why no kannada movies on Amazon Prime yet?,I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2720045,"Customer message 1: @115830 you've locked my account😐 I've emailed customer service, but their replies are just unacceptably slow. PLEASE DM ME AS SOON AS POSSIBLE TO RESOLVE THE PROBLEM.

Customer message 2: @AmazonHelp Would you kindly direct message me so we can address the issue further.

Customer message 3: @AmazonHelp ???? NO I HAVENT RECEIVED HELP FROM ANYONE HENSE MY ATTITUDE",I7,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1272924,"Customer message 1: @AmazonHelp I am receiving msgs that due to aditional address req. Packge could not be delivered.Though I am receiving other packages daily.

Customer message 2: @AmazonHelp That link is not helping.

Customer message 3: @AmazonHelp I have DM you screenshot. Pls check and resolve

Customer message 4: @AmazonHelp No solution till now.. diwali ke pehle milega ya nahi",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1499839,"Customer message 1: Esquenta Black Friday 🎉 Até 90% off em livros da Cosac Naify: https://t.co/xH6ON73EDY https://t.co/uxt0F3UfxZ

Customer message 2: @117086 bom  demais  
vou  fazer  minhas  compras dia  10

Customer message 3: @117086 Quando vai ser a Black Friday?

Customer message 4: @AmazonHelp Ansiosa! 👏🏻👏🏻😆

Customer message 5: @117086 Olá, o Kindle PaperWhite entrará na Black Friday?",I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2596324,"Customer message 1: @118919 purchased this product frm amazon, doubt authenticity, plz confirm. https://t.co/09wICRdwAK

Customer message 2: @AmazonHelp Unfortunately Barcode not recognized so please comment on this specific product.",I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
987817,"Customer message 1: @115821 suddenly from nowhere Rs. 3192 deducted as Amazon Membership. Plz refund https://t.co/wtOZrFNLnU

Customer message 2: @AmazonHelp Hi I had an https://t.co/GD2YYEdlxm student prime account and that got automatically renewed. Plz cancel that and refund my money! https://t.co/8HM0n9tXPo

Customer message 3: @AmazonHelp Can't see the chat option..I have requested by dropping mail. Please help. Cancel the membership and refund the money deducted https://t.co/0vYSafjWEH

Customer message 4: @AmazonHelp Thanks a lot..I have cancelled and it says the refund will be made",I6,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
366920,"Customer message 1: @AmazonHelp I ordered an item from Amazon France warehouse. Someone else must have taken delivery in a different flat and getting nowhere!

Customer message 2: @AmazonHelp Tried that, just said its delivered. Even though name signed isnt the name of the delivery address

Customer message 3: @AmazonHelp Planning on emailing CEO tomorrow __email__

Customer message 4: @AmazonHelp useless ! told me to speak to the Police. Asking about a chargeback with my Bank and breach of consumer rights act

Customer message 5: @AmazonHelp Police aren't interested and Amazon are in breach of Consumer Rights Act in not handing to my designated delivery address

Customer message 6: @AmazonHelp was told it shows as delivered so call Police ! not delivered to correct flat for sure, wrong name signed

Customer message 7: @AmazonHelp but is against all regulation, Amazon did not deliver to my designated address as no one was home CONSUMER RIGHTS ACT

Customer message 8: @AmazonHelp Incorrect, it is Amazon responsibility to deliver to my delivery address. Amazon has the issue with not fulfilling not me

Customer message 9: @AmazonHelp Police are not interested in missing delivery I asked them. I cannot prove it was stolen as I dont know where it was delivered",I2,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
842147,"Customer message 1: @115850 poor show..asked me to cancel my order after 5 days..lost money bcz of cancellation..flipkart is much better

Customer message 2: @AmazonHelp ordered washing machine on 15 Oct n I didnt get any delivery dt till 20 Oct.2day ur executive cancelled it saying it got stuck in warehouse

Customer message 3: @AmazonHelp I lost money bcz of cashback offer which I could have availed if I had use @118702 now there's no offer.pretty unprofessional Cust care

Customer message 4: @AmazonHelp That's it from company who says it is customer centric? No resolution of my problem?",I5,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1135184,"Customer message 1: @AmazonHelp si canceló un pedido(aún no a sido enviado, era un preventa para HOY) y pido el reembolso se me entrega en mi tarjeta de debito?

Customer message 2: @AmazonHelp Ya me cobraron, hoy a las 1:15 am https://t.co/Zf9RVMhVVr

Customer message 3: @AmazonHelp En cuánto tiempo?",I5,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2544944,"Customer message 1: @AmazonHelp had an email saying I was due a delivery today before 8pm....stayed in all day... Still waiting #pissedoff

Customer message 2: @AmazonHelp It just says out for delivery before 8pm. I've got a baby I need to get to bed.

Customer message 3: @AmazonHelp Still not received it. Had another delivery from you, but not the things that were meant to arrive yesterday",I1,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1655686,"Customer message 1: Hey @115850 Why are you declining my transaction while putchasing a book,through mobile app?

Customer message 2: @AmazonHelp That issue is resolved,but I still have the issue regarding writing a review.I have an email sent regarding the same.

Customer message 3: @AmazonHelp I had a conversation with your support staff on this issue on Friday and that is still not resolved.Do check it out guys.

Customer message 4: @AmazonHelp It is staying that,I should have done minimum payment or should be a prime member to write a review.

Customer message 5: @AmazonHelp Thankyou!I have shared the details.Thankyou for your assistance.",I8,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2935753,"Customer message 1: Wtf @AmazonHelp I signed up for a trial 30 days ago but didn’t want to continue it so I cancelled it 
It’s taken the yearly payment out my account! How do I get this £80 back because I cancelled it but it’s taken it out

Customer message 2: @AmazonHelp Thank you! I got on call and it is getting refunded",I6,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
224754,"Customer message 1: @115850 your customer service has become worse than flipkart. Really pathetic.

Customer message 2: @AmazonHelp already in an email conversation. Bt can't get my problem through..need to talk to a rep.

Customer message 3: @AmazonHelp I'm trying the ""call me"" tab on the app and no. 180030009009. But I can't get through. Recorded voice says for more info visit app or site.

Customer message 4: @AmazonHelp How to use the chat feature?

Customer message 5: @AmazonHelp The rep refuses to help. 😦 I've never had any problems with @115850 before. But this is just...

Customer message 6: @AmazonHelp I trust you'll resolve the issue.. https://t.co/Ji46p5cU1R

Customer message 7: @AmazonHelp No one has made contact with me!! 
Is it not ""within 12 business hours"" and ""Earliest"" yet?",I8,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1732624,"Customer message 1: @115830 pre ordered Xbox one x Scorpio edition 20/08 and no where to be seen. No dispatch date but have taken my money? Where is it at???

Customer message 2: @AmazonHelp No email with any information other than it’s not coming today

Customer message 3: @AmazonHelp No nothing at all. But you have taken my money for it which as stated in your own policy only happens upon dispatch",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1744072,"Customer message 1: Placed an @115821 order two days ago, paid extra for it to be delivered today. Order status page says.... shipping soon. 3 hours left, and it still hasn't left their warehouse. FFS

Customer message 2: @AmazonHelp Arriving:
Thursday, November 9

Customer message 3: @AmazonHelp Well, it's after 8pm. No package, no tracking details. It hasn't even left the warehouse as far as I can tell. I expect the agreed-upon refund terms to be honored: 20% off the order + refund of the shipping cost.

Customer message 4: @AmazonHelp Give your shipping department a great big ""FUCK YOU"" over their unexcusable delays in shipping one item. I've never seen such incompetence before.",I1,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
442851,"Customer message 1: @115830 My wife's account has been hacked and we can't find a contact number to sort. She can't log on as the password and email address has been changed.

Customer message 2: @AmazonHelp 3 phone calls, 1 hour and still you can't unhack my wife's account. How difficult can it be FFS!!!! She just wants access to her account back. #amazon #fail #scam #Hacker #Criminal https://t.co/0HU9gIhAF5

Customer message 3: @AmazonHelp Can I DM you rather than discuss this openly on Twitter?",I7,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1246885,Customer message 1: @116618 - I got charged for a tv episode that is included with prime. How can I dispute this?,I6,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
390002,"Customer message 1: #KaroMilkeTayyari to upgrade to an iPhone 7. Presenting the winner of ‘Guess The Phones’ contest. #AmazonGreatIndianFestival https://t.co/BUKCp7HJ5A

Customer message 2: @115850 Why mistaking Amazon ?

Customer message 3: @115850 Hard Luck! :(

Customer message 4: @115850 want to know how you select the winner??

Customer message 5: @115850 When start @115850 Diwali Sale ? @118702 confirmed #BigDiwaliSale on 14 - 17 Oct and 10% discount with @3021 
Amazon cover pic https://t.co/FwVvBskDa7

Customer message 6: @AmazonHelp @131820 Yes! I'm also shocked to see my name. Thank you Amazon. You really made my day.😘😍

Customer message 7: @AmazonHelp I DM you about this

Customer message 8: @115850 Thank you so much @115850 @AmazonHelp I was shocked for some time iPhone dream came true. #AmazonGreatIndianFestival #KaroMilkeTayyari 😍 https://t.co/oiNggh3YB4

Customer message 9: @AmazonHelp so will there any contest further

Customer message 10: @AmazonHelp 😂 Thanks. I'll surely give you party only if you ship it fast. Can't wait to unbox my Dream Phone. ^HA

Customer message 11: @208327 @AmazonHelp Congratulations!

Customer message 12: @131820 @AmazonHelp Thanks

Customer message 13: @AmazonHelp Ok will try and thank u so much for running such a wonderful contest for the customers.

Customer message 14: @AmazonHelp I didnt see such type of care taken for customers.

Customer message 15: @AmazonHelp It feel just like that I am in an imaginating world.^HA

Customer message 16: @115850 Hi Amazon my account has been closed without reason please help . There is no proper response from __email__

Customer message 17: @115850 Hey @115850  when ll br the other results announced. Of guess who n other recent competition

Customer message 18: @115850 Laptop sale when???

Customer message 19: @115850 Amazon.in is the gang of the cheater they have taken my 16k. They are eating my interest. I would highly recmnd everyone to not use this.

Customer message 20: @AmazonHelp My order id is : 405-1741943-7937124.. go and check my interaction with customer care

Customer message 21: @115850 Plz stop being nice , u r the one whom I trusted the most ,but you shattered me by not giving refund or my product, really painful for me.

Customer message 22: @115850 Does Amazon have a dashboard of all winners of various contests ? If yes please share the link else it will be a good idea to build one

Customer message 23: @AmazonHelp Yes I have reported .they replied with the message of sorry we can't help

Customer message 24: @AmazonHelp  https://t.co/yIM5qxdigD",I2,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
