conversation_id,customer_message,amazonhelp_reply,intent_label,decision_label,decision_reason
1215433,Customer message 1: Dear @115850 why no kannada movies on Amazon Prime yet?,"AmazonHelp reply 1: @405210 Currently, we don't have any information about this. I've noted your comments and will be sure to forward this ^MP 1/2

AmazonHelp reply 2: @405210 as a feedback internally. If and when available, you'll be able to see it on our website. ^MP 2/2",I8,Auto-handle,"Product Enquiry , In this case Amazon Prime is considered has Amazon Product."
2720045,"Customer message 1: @115830 you've locked my account😐 I've emailed customer service, but their replies are just unacceptably slow. PLEASE DM ME AS SOON AS POSSIBLE TO RESOLVE THE PROBLEM.

Customer message 2: @AmazonHelp Would you kindly direct message me so we can address the issue further.

Customer message 3: @AmazonHelp ???? NO I HAVENT RECEIVED HELP FROM ANYONE HENSE MY ATTITUDE","AmazonHelp reply 1: @763266 Hey, I'm afraid we can't access or change any account details over Twitter. Have you received any contact from our Account Specialist team? ^PJ",I7,Escalate,"Account access issue , and unresolved."
1272924,"Customer message 1: @AmazonHelp I am receiving msgs that due to aditional address req. Packge could not be delivered.Though I am receiving other packages daily.

Customer message 2: @AmazonHelp That link is not helping.

Customer message 3: @AmazonHelp I have DM you screenshot. Pls check and resolve

Customer message 4: @AmazonHelp No solution till now.. diwali ke pehle milega ya nahi","AmazonHelp reply 1: @199156 here: https://t.co/2t6DQoUmNZ, we'll get back to you soon. 2/2^AP

AmazonHelp reply 2: @199156 I understand you're concerned regarding your order. We'd like to look into it. Kindly report it to our support team 1/2^AP",I1,Escalate,"Delivery delay due to address issue , and customers request unresolved."
1499839,"Customer message 1: Esquenta Black Friday 🎉 Até 90% off em livros da Cosac Naify: https://t.co/xH6ON73EDY https://t.co/uxt0F3UfxZ

Customer message 2: @117086 bom  demais  
vou  fazer  minhas  compras dia  10

Customer message 3: @117086 Quando vai ser a Black Friday?

Customer message 4: @AmazonHelp Ansiosa! 👏🏻👏🏻😆

Customer message 5: @117086 Olá, o Kindle PaperWhite entrará na Black Friday?","AmazonHelp reply 1: @238198 Desejamos que desfrute muito das nossas promoções Claudio 😀. Grande abraço! ^AZ

AmazonHelp reply 2: @477278 Oi Isadora, vai ser dia 24 de novembro. Se prepara! :) ^JD

AmazonHelp reply 3: @496692 Olá Lucas, no momento não temos previsão, mas continua de olho no site e para ficar sabendo das nossas novidades. ^DA",I8,Auto-handle,Product / Promotional enquiry.
2596324,"Customer message 1: @118919 purchased this product frm amazon, doubt authenticity, plz confirm. https://t.co/09wICRdwAK

Customer message 2: @AmazonHelp Unfortunately Barcode not recognized so please comment on this specific product.","AmazonHelp reply 1: @735139 All the products sold on our website are genuine and come with a manufacturer warranty. ^SH

AmazonHelp reply 2: @735139 That's odd. Please check with the seller and the manufacturer for confirmation on the authenticity of the product, Neeraj. ^JC",I8,Auto-handle,Product authenticity related query.
987817,"Customer message 1: @115821 suddenly from nowhere Rs. 3192 deducted as Amazon Membership. Plz refund https://t.co/wtOZrFNLnU

Customer message 2: @AmazonHelp Hi I had an https://t.co/GD2YYEdlxm student prime account and that got automatically renewed. Plz cancel that and refund my money! https://t.co/8HM0n9tXPo

Customer message 3: @AmazonHelp Can't see the chat option..I have requested by dropping mail. Please help. Cancel the membership and refund the money deducted https://t.co/0vYSafjWEH

Customer message 4: @AmazonHelp Thanks a lot..I have cancelled and it says the refund will be made","AmazonHelp reply 1: @354052 That's strange, Sayantan. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we’ll assist you. ^NK

AmazonHelp reply 2: @354052 Sorry to see that. Please contact us here: https://t.co/hApLpMlfHN by chat so an agent can look into this for you. ^JJ

AmazonHelp reply 3: @354052 You can cancel your membership here: https://t.co/cHzAHIDRJ0 If benefits haven't been used, you'll receive a refund. ^LB",I6,Auto-handle,"Price , Membership policy and refund related enquery."
366920,"Customer message 1: @AmazonHelp I ordered an item from Amazon France warehouse. Someone else must have taken delivery in a different flat and getting nowhere!

Customer message 2: @AmazonHelp Tried that, just said its delivered. Even though name signed isnt the name of the delivery address

Customer message 3: @AmazonHelp Planning on emailing CEO tomorrow __email__

Customer message 4: @AmazonHelp useless ! told me to speak to the Police. Asking about a chargeback with my Bank and breach of consumer rights act

Customer message 5: @AmazonHelp Police aren't interested and Amazon are in breach of Consumer Rights Act in not handing to my designated delivery address

Customer message 6: @AmazonHelp was told it shows as delivered so call Police ! not delivered to correct flat for sure, wrong name signed

Customer message 7: @AmazonHelp but is against all regulation, Amazon did not deliver to my designated address as no one was home CONSUMER RIGHTS ACT

Customer message 8: @AmazonHelp Incorrect, it is Amazon responsibility to deliver to my delivery address. Amazon has the issue with not fulfilling not me

Customer message 9: @AmazonHelp Police are not interested in missing delivery I asked them. I cannot prove it was stolen as I dont know where it was delivered","AmazonHelp reply 1: @202910 Hello, I'm sorry for the inconvenience. Could you please contact our CS to check this directly : https://t.co/qzuu0dgDXz ^MH

AmazonHelp reply 2: @202910 An investigation will certainly be done and the best solution therefore proposed, isn't it ? ^MH

AmazonHelp reply 3: @202910 So you have to do it and send the paper to our CS ^ kO

AmazonHelp reply 4: @202910 When you spoke with us, did you request a refund for the order? ^DD

AmazonHelp reply 5: @202910 I understand the situation, but politics requires this. ^RA

AmazonHelp reply 6: @202910 The police department must register your complaint like come customers have done before. ^HM

AmazonHelp reply 7: @202910 All informaitons about that was sent to you by e-mail. ^MH",I2,Escalate,Related to product delivery fraud and complex issue .
842147,"Customer message 1: @115850 poor show..asked me to cancel my order after 5 days..lost money bcz of cancellation..flipkart is much better

Customer message 2: @AmazonHelp ordered washing machine on 15 Oct n I didnt get any delivery dt till 20 Oct.2day ur executive cancelled it saying it got stuck in warehouse

Customer message 3: @AmazonHelp I lost money bcz of cashback offer which I could have availed if I had use @118702 now there's no offer.pretty unprofessional Cust care

Customer message 4: @AmazonHelp That's it from company who says it is customer centric? No resolution of my problem?","AmazonHelp reply 1: @320312 That's odd. Kindly let us know where did we go wrong. We would like to work on it. ^CB

AmazonHelp reply 2: @320312 I'm truly sorry about this unpleasant experience you've had with the order, I understand how upsetting it can be. [1/2] ^HA

AmazonHelp reply 3: @320312 I've shared your feedback with the concerned team for review. [2/2] ^HA

AmazonHelp reply 4: @320312 Sorry about the order being canceled, that's not intended. Your comments has been shared internally for a review. ^BS",I5,Escalate,"Cancellation issue , the ordered was cancelled by an warehouse execute ."
1135184,"Customer message 1: @AmazonHelp si canceló un pedido(aún no a sido enviado, era un preventa para HOY) y pido el reembolso se me entrega en mi tarjeta de debito?

Customer message 2: @AmazonHelp Ya me cobraron, hoy a las 1:15 am https://t.co/Zf9RVMhVVr

Customer message 3: @AmazonHelp En cuánto tiempo?","AmazonHelp reply 1: @387433 Hola, recuerda que Amazon no cobra el pedido hasta que el mismo sea enviado. Si quisieras cancelarlo puedes hacerlo(1/2)

AmazonHelp reply 2: @387433 (1/2)aquí:https://t.co/RB6DLMss9n . ^MB

AmazonHelp reply 3: @387433 En ese caso, si cancelas la compra, recibirás el reembolso correspondiente al método de pago original. ^LG

AmazonHelp reply 4: @387433 Si el pedido se te cobró, recibirás un reembolso luego de 15 días naturales.

^Andrea V",I5,Auto-handle,Cancellation and refund issue.
2544944,"Customer message 1: @AmazonHelp had an email saying I was due a delivery today before 8pm....stayed in all day... Still waiting #pissedoff

Customer message 2: @AmazonHelp It just says out for delivery before 8pm. I've got a baby I need to get to bed.

Customer message 3: @AmazonHelp Still not received it. Had another delivery from you, but not the things that were meant to arrive yesterday","AmazonHelp reply 1: @723385 Oh no, Michaela! What does tracking currently indicate? Please check here: https://t.co/9CY2oYVmG9 ^BE

AmazonHelp reply 2: @723385 Typically, late orders arrive the next day. Please keep us posted, we want to make sure you receive it. ^BH

AmazonHelp reply 3: @723385 Thanks for keeping us updated, Michaela! We'd like to look into this in more detail with you. When you have the chance, please reach out to us here: https://t.co/JzP7hlA23B so we can investigate! ^VB",I1,Auto-handle,Delivery delay.
