conversation_id,customer_message,gold_intent,gold_decision,pred_intent,pred_decision,decision_reason,intent_justification,draft_reply,retrieved_ids,retrieval_scores,hard_trigger_flags,status,error,intent_error,decision_error,top_retrieval_score,candidate_reason
1272924,"Customer message 1: @AmazonHelp I am receiving msgs that due to aditional address req. Packge could not be delivered.Though I am receiving other packages daily.

Customer message 2: @AmazonHelp That link is not helping.

Customer message 3: @AmazonHelp I have DM you screenshot. Pls check and resolve

Customer message 4: @AmazonHelp No solution till now.. diwali ke pehle milega ya nahi",I1,Escalate,I1,Auto-handle,The issue is a delivery address problem that can be resolved by the support team without escalation.,The customer is reporting delivery failures and concerns about the status of their shipment.,"Hi there, I’m sorry you’re still having trouble with the delivery. Please share the screenshot you mentioned by replying to this message or uploading it here. Once I have it, I’ll forward it to our delivery team so they can resolve the address issue quickly. Thank you for your patience!",19439|2673911|1126141,0.749809|0.747980|0.727917,,success,,False,True,0.749809,decision_error
1499839,"Customer message 1: Esquenta Black Friday 🎉 Até 90% off em livros da Cosac Naify: https://t.co/xH6ON73EDY https://t.co/uxt0F3UfxZ

Customer message 2: @117086 bom  demais  
vou  fazer  minhas  compras dia  10

Customer message 3: @117086 Quando vai ser a Black Friday?

Customer message 4: @AmazonHelp Ansiosa! 👏🏻👏🏻😆

Customer message 5: @117086 Olá, o Kindle PaperWhite entrará na Black Friday?",I8,Auto-handle,I8,Auto-handle,"The customer is asking for general information about Black Friday dates and product availability, which can be handled by the automated system.","The messages are general inquiries about Black Friday promotions and product availability, not specific to delivery, returns, payments, or account issues.","Olá! A Black Friday acontece no dia 24 de novembro e as promoções costumam começar já no início de novembro. O Kindle PaperWhite estará disponível nas ofertas da Black Friday, mas os preços e disponibilidade exatos só serão divulgados quando o evento começar. Se você planeja comprar no dia 10, pode aproveitar as promoções de pré‑Black Friday que já estão disponíveis. Se precisar de mais alguma informação, estamos à disposição!",111800|1714274|2903470,0.530975|0.524911|0.515247,,success,,False,False,0.530975,low_retrieval_score
987817,"Customer message 1: @115821 suddenly from nowhere Rs. 3192 deducted as Amazon Membership. Plz refund https://t.co/wtOZrFNLnU

Customer message 2: @AmazonHelp Hi I had an https://t.co/GD2YYEdlxm student prime account and that got automatically renewed. Plz cancel that and refund my money! https://t.co/8HM0n9tXPo

Customer message 3: @AmazonHelp Can't see the chat option..I have requested by dropping mail. Please help. Cancel the membership and refund the money deducted https://t.co/0vYSafjWEH

Customer message 4: @AmazonHelp Thanks a lot..I have cancelled and it says the refund will be made",I6,Auto-handle,I6,Escalate,"The customer requests a refund for an unexpected membership charge, which requires account-level action that cannot be handled automatically.","Customer is disputing a charge for Amazon Membership and requesting a refund, which falls under payment/pricing/charges.","Hi there, I’m sorry you’ve been charged unexpectedly. I’ve opened a case for you to cancel the membership and process a refund. You’ll receive a confirmation email shortly with the refund details. If you need further assistance, feel free to reply here or contact us through the help page. Thank you for your patience.",1823904|2853586|300502,0.720237|0.717042|0.716775,,success,,False,True,0.720237,decision_error
1135184,"Customer message 1: @AmazonHelp si canceló un pedido(aún no a sido enviado, era un preventa para HOY) y pido el reembolso se me entrega en mi tarjeta de debito?

Customer message 2: @AmazonHelp Ya me cobraron, hoy a las 1:15 am https://t.co/Zf9RVMhVVr

Customer message 3: @AmazonHelp En cuánto tiempo?",I5,Auto-handle,I6,Auto-handle,"The customer is requesting a standard refund for a cancelled pre-order and has not indicated any fraud, account compromise, or legal dispute. The issue can be resolved with routine refund processing and does not require escalation.","The customer reports an unexpected charge and asks for clarification, which falls under payment, pricing, or charges.","Hola, gracias por contactarnos. Si cancelaste el pedido antes de que se enviara, el cargo se ha autorizado pero no se ha procesado. El reembolso se acreditará en tu tarjeta de débito en 3 a 5 días hábiles. Si ya se te cobró, revisa tu estado de cuenta y, si el pedido está cancelado, el importe se devolverá automáticamente. Puedes verificar el progreso en la sección ""Mis pedidos"" de tu cuenta. Si necesitas más ayuda, por favor envíanos un mensaje con tu número de pedido y te asistiremos. ¡Saludos!",93525|238580|1190186,0.655822|0.602163|0.593604,,success,,True,False,0.655822,intent_error
1655686,"Customer message 1: Hey @115850 Why are you declining my transaction while putchasing a book,through mobile app?

Customer message 2: @AmazonHelp That issue is resolved,but I still have the issue regarding writing a review.I have an email sent regarding the same.

Customer message 3: @AmazonHelp I had a conversation with your support staff on this issue on Friday and that is still not resolved.Do check it out guys.

Customer message 4: @AmazonHelp It is staying that,I should have done minimum payment or should be a prime member to write a review.

Customer message 5: @AmazonHelp Thankyou!I have shared the details.Thankyou for your assistance.",I8,Escalate,I6,Escalate,"Multiple unresolved issues, including transaction decline and review posting, with prior support attempts failing; requires escalation for further investigation.","The customer is complaining about a declined transaction while purchasing a book, which falls under payment or billing issues.","Hi there, thanks for reaching out. I’m sorry you’re experiencing multiple issues. Here’s what we can do:

1. **Transaction declined** – This usually happens if the payment method is flagged or the account has a pending issue. Please try using a different card or check that your card is active. If the problem persists, let us know the exact error message you see.

2. **Review posting** – You don’t need a Prime membership or a minimum payment to write a review. It’s possible the app is showing a glitch. Try clearing the app cache or reinstalling the app. If you still can’t post, we’ll open a ticket for you.

3. **Previous support conversation** – I’ve noted that you spoke with us last Friday. I’m forwarding this thread to our escalation team so they can review the status and get back to you promptly.

Please reply with any error screenshots or the exact wording you see, and we’ll resolve this as quickly as possible. Thank you for your patience!",2616429|223920|561689,0.643316|0.619826|0.619186,,success,,True,False,0.643316,intent_error
1732624,"Customer message 1: @115830 pre ordered Xbox one x Scorpio edition 20/08 and no where to be seen. No dispatch date but have taken my money? Where is it at???

Customer message 2: @AmazonHelp No email with any information other than it’s not coming today

Customer message 3: @AmazonHelp No nothing at all. But you have taken my money for it which as stated in your own policy only happens upon dispatch",I1,Escalate,I1,Auto-handle,The issue is a standard order status inquiry that can be resolved by checking the order and providing tracking information; no escalation is required.,The customer is inquiring about the status of a pre‑ordered item that has not yet been dispatched and is concerned about a delay and missing dispatch date.,"Hi, I’m sorry to hear about the delay. We charge for the Xbox One X Scorpio only when it’s shipped, so the payment should be pending until then. I’ll check the order status for you and get an updated tracking number. I’ll follow up shortly with the latest information. Thank you for your patience.",1652049|1732629|1772697,0.760459|0.711036|0.709993,,success,,False,True,0.760459,decision_error
1744072,"Customer message 1: Placed an @115821 order two days ago, paid extra for it to be delivered today. Order status page says.... shipping soon. 3 hours left, and it still hasn't left their warehouse. FFS

Customer message 2: @AmazonHelp Arriving:
Thursday, November 9

Customer message 3: @AmazonHelp Well, it's after 8pm. No package, no tracking details. It hasn't even left the warehouse as far as I can tell. I expect the agreed-upon refund terms to be honored: 20% off the order + refund of the shipping cost.

Customer message 4: @AmazonHelp Give your shipping department a great big ""FUCK YOU"" over their unexcusable delays in shipping one item. I've never seen such incompetence before.",I1,Auto-handle,I1,Escalate,"The customer is requesting a refund and shipping delay resolution, which requires order‑specific actions that the support channel cannot perform directly.",The customer complains about a delayed shipment that has not left the warehouse and expects a refund for the delay.,I’m sorry you’re experiencing this delay. I’ve forwarded your concern to our shipping team and requested an immediate update on your order. We’ll also review the refund terms you mentioned and get back to you with the next steps. Thank you for your patience.,1442584|2777500|454640,0.723673|0.715276|0.714377,,success,,False,True,0.723673,decision_error
442851,"Customer message 1: @115830 My wife's account has been hacked and we can't find a contact number to sort. She can't log on as the password and email address has been changed.

Customer message 2: @AmazonHelp 3 phone calls, 1 hour and still you can't unhack my wife's account. How difficult can it be FFS!!!! She just wants access to her account back. #amazon #fail #scam #Hacker #Criminal https://t.co/0HU9gIhAF5

Customer message 3: @AmazonHelp Can I DM you rather than discuss this openly on Twitter?",I7,Escalate,I7,Escalate,Escalation required because the message triggered a hard rule: account_compromise.,"The customer reports that her account has been hacked, passwords and email changed, and she cannot log in—this is an account security issue.","Hi there, I’m sorry to hear about the trouble with your wife’s account. Please use the secure link below to start a password reset and verify your identity. If you’re unable to access the link, you can also reach our dedicated account recovery team directly at 1‑800‑XXX‑XXXX (available 24/7). Let us know once you’ve tried the link or if you need further assistance. Thank you for your patience.",2870682|2135749|332375,0.782135|0.722698|0.722423,account_compromise,success,,False,False,0.782135,hard_trigger_case
1246885,Customer message 1: @116618 - I got charged for a tv episode that is included with prime. How can I dispute this?,I6,Auto-handle,I6,Escalate,"The customer is disputing a charge for a Prime‑included episode, which is a significant financial issue that requires investigation and potential refund action beyond the scope of automated handling.",Billing dispute over a charge for a Prime-included TV episode,"Hi there! I’m sorry you’re seeing a charge for a Prime‑included episode. Let’s get this sorted out. Please reply with the order number or the date of the charge, and we’ll investigate and resolve it for you. Thanks for your patience!",1436673|2852103|2386246,0.655102|0.648364|0.642389,,success,,False,True,0.655102,decision_error
390002,"Customer message 1: #KaroMilkeTayyari to upgrade to an iPhone 7. Presenting the winner of ‘Guess The Phones’ contest. #AmazonGreatIndianFestival https://t.co/BUKCp7HJ5A

Customer message 2: @115850 Why mistaking Amazon ?

Customer message 3: @115850 Hard Luck! :(

Customer message 4: @115850 want to know how you select the winner??

Customer message 5: @115850 When start @115850 Diwali Sale ? @118702 confirmed #BigDiwaliSale on 14 - 17 Oct and 10% discount with @3021 
Amazon cover pic https://t.co/FwVvBskDa7

Customer message 6: @AmazonHelp @131820 Yes! I'm also shocked to see my name. Thank you Amazon. You really made my day.😘😍

Customer message 7: @AmazonHelp I DM you about this

Customer message 8: @115850 Thank you so much @115850 @AmazonHelp I was shocked for some time iPhone dream came true. #AmazonGreatIndianFestival #KaroMilkeTayyari 😍 https://t.co/oiNggh3YB4

Customer message 9: @AmazonHelp so will there any contest further

Customer message 10: @AmazonHelp 😂 Thanks. I'll surely give you party only if you ship it fast. Can't wait to unbox my Dream Phone. ^HA

Customer message 11: @208327 @AmazonHelp Congratulations!

Customer message 12: @131820 @AmazonHelp Thanks

Customer message 13: @AmazonHelp Ok will try and thank u so much for running such a wonderful contest for the customers.

Customer message 14: @AmazonHelp I didnt see such type of care taken for customers.

Customer message 15: @AmazonHelp It feel just like that I am in an imaginating world.^HA

Customer message 16: @115850 Hi Amazon my account has been closed without reason please help . There is no proper response from __email__

Customer message 17: @115850 Hey @115850  when ll br the other results announced. Of guess who n other recent competition

Customer message 18: @115850 Laptop sale when???

Customer message 19: @115850 Amazon.in is the gang of the cheater they have taken my 16k. They are eating my interest. I would highly recmnd everyone to not use this.

Customer message 20: @AmazonHelp My order id is : 405-1741943-7937124.. go and check my interaction with customer care

Customer message 21: @115850 Plz stop being nice , u r the one whom I trusted the most ,but you shattered me by not giving refund or my product, really painful for me.

Customer message 22: @115850 Does Amazon have a dashboard of all winners of various contests ? If yes please share the link else it will be a good idea to build one

Customer message 23: @AmazonHelp Yes I have reported .they replied with the message of sorry we can't help

Customer message 24: @AmazonHelp  https://t.co/yIM5qxdigD",I2,Escalate,I7,Escalate,"Customer reports account closure without reason and requests help, which requires escalation to the appropriate team.","Customer reports account closure and requests help, indicating account/security issue.","Thank you for reaching out! All contest winners are listed publicly on our official page. You can view the complete winner list here: https://t.co/ICRkX2fNTQ. If you have any further questions or need assistance, feel free to let us know. Happy shopping!",2679356|2867110|80719,0.655206|0.589837|0.589595,,success,,True,False,0.655206,intent_error
