conversation_id,customer_message,zero_shot_reply,rag_reply,human_groundedness,human_correctness,human_tone,human_helpfulness,human_zero_shot_groundedness,human_zero_shot_correctness,human_zero_shot_tone,human_zero_shot_helpfulness,human_rag_groundedness,human_rag_correctness,human_rag_tone,human_rag_helpfulness
2889250,@115821 has had me on hold for 30mins after being hung up on twice @AmazonHelp I was charged for a video game gift card that I did not purchase after my account was hacked.,We’re sorry to hear about the unauthorized charge. Please let us know if you suspect your account has been compromised so we can secure it and investigate the charge. We’ll need to verify your identity before proceeding. Thank you for your patience.,"Hi there, I’m sorry you’ve had such a frustrating experience. I’ve opened a priority ticket for you so a specialist can review the unauthorized charge and help unlock your account. You’ll receive a confirmation email shortly with a case number and next steps. In the meantime, please review your recent activity and consider updating your password. Thank you for your patience.",,,,,4,4,4,4,2,2,4,2
2918712,"@115821  @AmazonHelp you guys completely scammed me out of almost $100 on my credit card for charges I didn't authorize. I TOLD numerous customer reps ahead of time &amp; no one took me seriously.  I have the physical bill to prove it now. @115821 @AmazonHelp No one got back to me via email as promised and I have the email chain to dispute these bogus charges from you with my credit card company.  This is absolutely distasteful business practice on your end. How can you legally do this? Blows my mind. @AmazonHelp  https://t.co/ArPEWWtc63 @AmazonHelp Not only did I call back time and again saying I am receiving real time notifications that Amazon keeps charging me and over charging me, but no one ever took me seriously. @AmazonHelp  https://t.co/grFwfWyQRh @AmazonHelp As I told everyone... I'm being charged without my authorization.  Here's my physical bill I received today. @AmazonHelp And from every rep, they kept saying they will ""personally"" call me back.  NOT ONE called me back to follow up.  I'm currently on hold with my CC company and will be debating these charges with the email correspondence from your end. @AmazonHelp None of these charges even remotely correspond to anything I purchased from you. @AmazonHelp Yes. And no one knows why the charges are as they were. The person on the phone basically shooed me off and said he will get back to me but never did.",We’re sorry to hear about these unauthorized charges. Please contact our Fraud & Security team immediately at 1‑888‑280‑4331 or via the “Contact Us” link in your account. They will investigate and help you secure your account and resolve the disputed charges.,"Hi, I’m sorry to hear about the unauthorized charges and the frustration you’ve experienced. Please send the physical bill and any related email correspondence to our dedicated support portal at https://amazon.com/help/unauthorized-charges. Our fraud team will review the evidence and work with your credit card issuer to resolve the issue. We’ll keep you updated via the email you provided. Thank you for your patience.",,,,,3,3,4,4,2,2,4,2
805540,"Customer message 1: @AmazonHelp it looks like I have an errant charge on my Amazon account. Can you direct me toward the right person to contact?

Customer message 2: @AmazonHelp I'm not sure. I was hoping you could provide some clarification because it's just a random charge on my account","I’m sorry to hear about the unexpected charge. Please review your recent orders and payment methods in your account settings. If the charge still appears unclear, you can file a dispute through the ‘Your Orders’ page or contact Amazon Customer Service for further assistance.","Hi there! I’m sorry to hear about the unexpected charge. Please contact our Amazon Customer Service team for assistance. You can reach them via the Amazon app or website by going to ""Help"" > ""Need more help?"" and selecting ""Contact Us"". They’ll be able to review the charge and help resolve it. Thank you for reaching out!",,,,,4,4,4,4,4,4,4,4
1058040,Customer message 1: @115850 this will be last time I order on your website!!,We’re sorry to hear you’re disappointed. Please let us know how we can improve or if there’s anything we can do to assist you further.,I’m sorry to hear you’re considering ending your experience with us. We value your business and would love to understand what went wrong so we can improve. Could you share a bit more about your concerns? We’re here to help.,,,,,5,3,4,3,5,3,4,3
442851,"Customer message 1: @115830 My wife's account has been hacked and we can't find a contact number to sort. She can't log on as the password and email address has been changed.

Customer message 2: @AmazonHelp 3 phone calls, 1 hour and still you can't unhack my wife's account. How difficult can it be FFS!!!! She just wants access to her account back. #amazon #fail #scam #Hacker #Criminal https://t.co/0HU9gIhAF5

Customer message 3: @AmazonHelp Can I DM you rather than discuss this openly on Twitter?",We’re sorry to hear about the security issue. Please contact our dedicated account recovery team at 1‑800‑XXX‑XXXX or visit https://www.amazon.com/account-recovery for immediate assistance. Your account’s safety is our top priority.,"Hi there, I’m sorry to hear about the trouble with your wife’s account. Please use the secure link below to start a password reset and verify your identity. If you’re unable to access the link, you can also reach our dedicated account recovery team directly at 1‑800‑XXX‑XXXX (available 24/7). Let us know once you’ve tried the link or if you need further assistance. Thank you for your patience.",,,,,3,4,4,3,2,2,4,2
2918736,"Customer message 1: @115850 @115851 How does Amazon decide on a price variation? Bought a product week later price dropped. Happens everytime!! #lootingcustomers

Customer message 2: @AmazonHelp @115851 @115850 Please enlighten me, what changed in the market place that the price dropped in less than a week? Fluctuations doesn't happen after every purchase. Difference of 450 Rs ain't that small drop in price.

Customer message 3: @AmazonHelp @115851 How about I return all my recent orders? Delete my 3 accounts. Switch to something more consistent and reliable. How does that sound @115850 ? Let's see with this atitude how long @115821 can hold up in India. Don't forget what happened with flipkart!","We understand your concern. Amazon’s pricing is dynamic and can change due to factors such as demand, inventory, and promotions. If you see a price drop after purchase, you can still benefit from the lower price by using the “Subscribe & Save” or “Amazon Assistant” features for future purchases. Let us know if you’d like more details on how pricing works!","Hi there, I understand how frustrating price changes can be. Amazon’s pricing is dynamic and can fluctuate due to factors like demand, inventory, and promotions. If you’d like to discuss a specific order or explore options, please let us know. We’re here to help!",,,,,2,2,4,2,4,4,4,3
264753,"Customer message 1: Dear @115850 Thank u 4 ur pathetic service delivery &amp; customer experience. Don't fool customer on the name of Prime &amp;1 day delivery.

Customer message 2: @AmazonHelp Order #171-9046889-4421106
My Reg #9978948938
Pls check. u ll understand the issue. Pls call me for further details.",We’re sorry to hear your delivery was delayed. We’ll investigate the issue and get back to you shortly.,"Hi there, I’m sorry to hear about the trouble with your Prime delivery. Please share your order details (Order #171-9046889-4421106) and any relevant information so we can investigate and resolve this for you. Thank you for your patience.",,,,,4,4,4,4,5,4,4,4
1314594,"Customer message 1: @AmazonHelp I am slightly frustrated with the availed service.please contact me I have an issue.

Customer message 2: @AmazonHelp @AmazonHelp I am slightly frustrated with the availed service.please contact me I have an https://t.co/ErnXF2lDKT number 9020209088","Hi, we’re sorry to hear you’re frustrated. Could you please let us know what the issue is so we can help you better?","Hi there! I’m sorry to hear you’re having trouble. Please send us a direct message with your order details or the best way to reach you, and we’ll get a support agent to help you right away. Thank you for your patience!",,,,,5,3,4,2,4,3,4,3
1513378,When u buy something from @115821 And it's pending delivery but links you to a different seller where it's in stock? Why ain't you got it? @AmazonHelp I just don't understand why other sellers now have it in stock but Amazon still doesn't.,"It looks like your order is still pending on Amazon’s end. While other sellers may have the item in stock, Amazon’s inventory and fulfillment process can differ. We’ll keep an eye on the shipment and update you as soon as it’s on its way. If you need further assistance, let us know!","Hi there, I’m sorry you’re experiencing confusion with the seller and stock status. It looks like the item you ordered is currently being fulfilled by a different seller who has the product in stock, which is why you’re seeing a different seller’s link. I recommend checking the order details in your Amazon account to confirm the seller and shipping information. If the order still shows as pending or you’re unsure about the fulfillment, please let me know and I’ll help you verify the status or explore alternative options. Thank you for your patience!",,,,,3,3,4,3,3,3,4,4
1310069,"Customer message 1: @AmazonHelp please help. I can't get into the live chat or any contact us area as your site has locked my account. Who do I contact in UK?

Customer message 2: @AmazonHelp Thank you but they can't do anything other than send a request for your security team to ring me.

Customer message 3: @AmazonHelp Do they work over the weekend? Or will my account now be locked until Monday (considering no-one has contacted me)?

Customer message 4: @AmazonHelp Ok, no problem. I will make sure I phone my credit card company to make sure nothing is charged by Amazon in the meantime then.","I’m sorry you’re having trouble accessing your account. I’ve forwarded your issue to our security team, and they will contact you directly to verify your identity and unlock your account. If you need to prevent any charges, please contact your credit card provider as you mentioned. Thank you for your patience.","Hi there,

I’m sorry you’re having trouble accessing your account. You can reach our UK support team without logging in by calling 0800 279 7233 (free from UK landlines) or by using the “Contact us” link on the Amazon.co.uk site while logged out. If you prefer email, reply to this message and we’ll forward it to the appropriate team.

Our customer‑service team works Monday‑Friday, 8 am‑8 pm GMT. If you call over the weekend, you’ll be placed on a queue and will receive a callback during business hours.

In the meantime, please keep an eye on your credit‑card statements. If you see any unfamiliar charges, let us know right away.

Thank you for your patience – we’ll get this sorted for you as quickly as possible.",,,,,4,4,4,4,2,2,4,2
2558527,"Customer message 1: @115830 so sorry but your new packaging is not working. Books upon books arriving battered at the seams... https://t.co/GujI9OR8mt

Customer message 2: @AmazonHelp Will do- and yes, the covers to hardbacks are arriving torn, and the edges of quite a few paperbacks have arrived smushed (technical term). Thanks for responding so quickly. What’s the next step.",We’re sorry to hear your books arrived damaged. Please send us photos of the damage and we’ll arrange a replacement or refund right away. Thank you for bringing this to our attention.,I’m really sorry to hear that your books arrived damaged. Please let us know the order number and we’ll arrange a return or replacement right away. You can start the process here: https://t.co/Bhz8bVlcse or contact us through chat for immediate assistance. Thank you for bringing this to our attention.,,,,,5,5,4,5,5,5,4,5
1576358,"Customer message 1: What’s going on with the South Park steelbook? 🤔🤔🤔 now I’m not getting it on release day @AmazonHelp

Customer message 2: @AmazonHelp Yes but literally only this morning when it was meant to come today 🤔 would like more info than the email provided. Thanks","Hi! I’m sorry to hear your South Park steelbook hasn’t arrived yet. It looks like the shipment is delayed, but it should be on its way shortly. I’ll check the latest tracking details for you and keep you updated. Thank you for your patience!",Hi there! I’m sorry you’re still waiting for the South Park steelbook. It looks like the release‑day shipment is delayed. Our team is looking into it and will update you as soon as we have more information. Thanks for your patience!,,,,,3,3,4,3,4,4,4,4
334094,"Customer message 1: 3/ Worst case: @115821 sold my husband a new iPad Pro that turned out to be a demo model. Every time I then have to correct their mistake.

Customer message 2: @AmazonHelp I used the chat. The specialist simply did a standard return/replacement. Nothing else. Just disappointed with lack of effort/care.",I’m sorry to hear you received a demo iPad Pro. I’ve escalated this issue to our product team so we can resolve it promptly. We’ll keep you updated on the next steps.,I’m really sorry to hear about the demo iPad Pro and the experience you had with our chat support. I understand how frustrating this must be. I’ve escalated your case to our dedicated product‑quality team so they can investigate the issue and arrange a proper replacement for you. We’ll keep you updated on the next steps and ensure this is resolved quickly. Thank you for bringing this to our attention.,,,,,5,4,4,4,2,3,4,3
2544944,"Customer message 1: @AmazonHelp had an email saying I was due a delivery today before 8pm....stayed in all day... Still waiting #pissedoff

Customer message 2: @AmazonHelp It just says out for delivery before 8pm. I've got a baby I need to get to bed.

Customer message 3: @AmazonHelp Still not received it. Had another delivery from you, but not the things that were meant to arrive yesterday",We’re sorry your package hasn’t arrived yet. It’s still on its way and should be delivered shortly. Thank you for your patience.,"Hi there, I’m sorry to hear your package hasn’t arrived yet. I’ve opened a case for you so our delivery team can investigate the delay and get an update on the status. We’ll keep you posted as soon as we have more information. Thank you for your patience.",,,,,3,4,4,3,4,4,4,4
2913190,"Customer message 1: @115830 so I have just been going through my bank details and have noticed that amazon has been taking money out my account for over a year now, small amounts that I never noticed and it has mounted up to £385.85!!! I am beyond furious with this and want my money back!!","I’m sorry to hear about the unauthorized charges. I’ll forward this to our billing team for investigation and will keep you updated on the outcome. In the meantime, please review your recent transactions and let us know if you notice any other suspicious activity.","I’m really sorry to hear about the unexpected charges. To investigate this and help you get a refund, please contact our support team through the Amazon Help Center. They’ll review your account activity and process a refund if the charges were unauthorized. You can start the conversation here: https://www.amazon.com/gp/help/customer/contact-us. Thank you for bringing this to our attention.",,,,,3,3,4,3,4,4,4,4
826259,"Customer message 1: Hey, @115821 @118706..... I pay for prime for a reason. 🙄🙄🙄

Customer message 2: @AmazonHelp Sure is.

Customer message 3: @AmazonHelp I ordered it the 10th. It was supposed to be here through USPS by 8pm today. My mail is normally here by noon and now it’s almost 10pm.

Customer message 4: @AmazonHelp When I tracked it at 8, it still said it would be delivered. Now it’s like this. https://t.co/Al2eQOZhSr",We’re sorry to hear that your Prime experience hasn’t met your expectations. Please let us know the specific issue so we can help resolve it promptly.,"Hi there, I’m sorry to hear your delivery hasn’t arrived yet. I understand how frustrating this can be, especially with Prime. Let’s get this sorted out quickly. Please click the link below so we can review your order details and find the best solution for you. https://t.co/JzP7hlA23B",,,,,5,3,4,2,4,4,4,4
2501902,"Customer message 1: Siete básicos que vas a necesitar para disfrutar del Buen Fin en Amazon. Añade pizza al gusto y ¡Estás listo! #lonecesito #pijamaforever https://t.co/6v8GUMqFIc https://t.co/6uKrdBdVbS

Customer message 2: @116875 Una pregunta, habrá algún paquete espacial que incluya Nintendo Switch y Super Mario Odyssey?  Gracias

Customer message 3: @AmazonHelp De acuerdo, a estar al tanto!  Gracias ;)

Customer message 4: @116875 Sigo esperando que se contacten con los afiliados a los que les deben dinero, su programa de afiliados no cumple!","¡Gracias por compartir tu entusiasmo! Si necesitas ayuda con algún producto o promoción, no dudes en preguntar.","Hola, gracias por contactarnos. En cuanto a tu pregunta sobre un paquete que incluya Nintendo Switch y Super Mario Odyssey, actualmente no tenemos un paquete espacial con esos productos. Si buscas algo específico, puedes usar la búsqueda en la app o sitio web y aplicar filtros de precio y disponibilidad. En relación a los afiliados, entendemos tu preocupación y te recomendamos revisar la sección de ayuda de nuestro Programa de Afiliados para ver los pasos a seguir. Si necesitas más asistencia, por favor indícanos el número de referencia o el correo asociado a tu cuenta y con gusto te ayudaremos. ¡Saludos!",,,,,5,2,4,2,2,2,4,2
