conversation_id,customer_issue_text,final_resolution_text
130747,1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN,@145514 Our customers' security is our utmost important concern &amp; we take all necessary steps to safe guard their info. I assure you. ^AN
1468324,@AmazonHelp Quite disappointed in the shipment I received today. Makes me re-think about ordering discreet items! https://t.co/2EyMA7bkau,@460810 I'm sorry your order arrived like this. Was anything inside damaged or missing? ^JR
2594963,"@AmazonHelp oh and.... ""Expected 13 Jul"" ..... right","@734787 Have you contacted Intelcom for any further updates? Typically, the carrier will have more insight regarding current status. ^WM"
18679,"@115821  
Amazon truck damaged my lawn my lawn .Love Amazon . So sad no one called me back today as promised! Why?",@120166 Please send us your details here: https://t.co/PJ1sPeuPfz so we can look into this for you. ^LI
707336,"@115821 why is it impossible to reach you when I have a problem, but so easy to give you my money....","@289100 I'm sorry! We can't access your account via Twitter, but you can reach us 24/7 by visiting here: https://t.co/hApLpMlfHN ^WT"
2219810,"@AmazonHelp All my Echo Dots. It has happened before where it will launch and say ""From NPR news"" and then nothing, I have to ask again, but now worse.","@238583 Let's try deselecting and selecting your news sources in the app, and then asking Alexa for your Flash Briefing again. ^GG"
269800,"OK, @AmazonHelp, #CHIvsGB won't play on TV because ""live content isn't supported on this device""? Works fine on iPad. Am Prime customer. https://t.co/NC3iPs4wGx",@180351 I'm sorry for any inconvenience! A list of compatible devices is available here: https://t.co/SLsekCv921 ^MV
660012,"@115850 It seems you tried delivering twice but can able to reach. Amazon attempt to deliver 3 times,why not this done for this order.","@277198 We've responded to you here: https://t.co/1DvFwgJ7Dl, request you to check. ^MA"
237476,@AmazonHelp Nope. Just an email that says it will arrive Thursday...bigger frustration is item ordered Sunday arrived today.,"@172545 We strive to deliver by the date given at checkout. If your order doesn't arrive by then, please let us know. ^NC"
179452,@AmazonHelp Now expected 3 Oct - 5 Oct,@158269 I'm sorry we let you down. Please let us know if your parcel doesn't arrive by the new delivery date!  ^CS
240525,@AmazonHelp So ive had to wait 2 months for my account to be unlocked and now i STILL can buy the item i been trying to buy...AGAIN,@173128 I'm really sorry for the account issues! Have you received anything from our account specialists yet? ^AH
307872,@AmazonHelp Is this what you want? I feel like you're trying to get smart with ^ME #notcoolorsick you're being mean #BoycottAmazon https://t.co/E4PDLeKbcW,@189507 Our team would like to look into this. Please send us your details directly here: https://t.co/7GBROG9Zl2 ^GG
249853,@AmazonHelp i got an email from amazon saying my email address succesfully changed to a russian one. I never requested an email change.,@175381 Hi Alex- Which site is your Amazon account registered with? https://t.co/nUUp5MLhYl https://t.co/ykTUEmdsQA or? ^NV
224353,@AmazonHelp benefit of being prime member? https://t.co/FIXq8A79zx,@169610 I'm sorry for the unpleasant experience. Please get in touch with us at: https://t.co/vlvfJr4nN9 we'll check it for you. ^AU
179455,"I ordered something on @115830 back in July and it still hasn't arrived, I've contacted the seller, no response and I'm getting mad now.","@158270 Hi, sorry, what's the status of the tracking and delivery date? Have you looked into an A-Z Claim:https://t.co/qLrvCASttL? ^JJ"
179145,"@AmazonHelp Thanks for the quick reply! No, but I cannot choose my country from the dropdown when using the Voiceover screen reader.",@158237 Is your country available in the drop down menu? What Amazon website is your acc on? https://t.co/1fz78PNFM0? ^JJ
179108,@AmazonHelp It's a University - how can this be mistaken for not commercial? It's a mail room - how can this be missed?,@158233 Did you use the link? What information were you provided with? ^MC
179066,"@115850 
What kind of offer show??
 How many discount apply on oneplus 5 ??
Greate Nice offer😡😡 https://t.co/pMaUmcxduA",@158227 The deal on the product is we have a No cost EMI option available for you. ^HN
241528,"Surely preordering something means you get it delivered on release day, not 5 days later @115830 @AmazonHelp 🙄 Seriously considering cancelling my Prime membership","@170769 Hi, sorry to hear that, have you received any emails in relation to the order? ^JJ"
179610,"@AmazonHelp Si je ne suis pas livré ce jour, je vais effectivement faire un retour complet au SAV","@158303 Entendu, tenez moi au courant de l'issue s'il vous plaît ^KD"
179924,@AmazonHelp My phone is absolutely in range and free. Pls try again.,@158354 Please revert to the email you've received for further updates. You may request a callback via the email as well. ^MS
180026,"@AmazonHelp Are u out of your mind i guess , today i spoke to one of your customer support representative and you are again send me a link to contact u",@158370 The link we've shared is for you to fill the form with your details. Please share your details and I'll personally help. ^ZH
183573,"@AmazonHelp 

1.AS PER YOUR INSTRUCTIONS I HAVE FORWARDED THE MAIL TO THE THIRD PARTY SUPPLIER.",@159170 Please reply back to the email you have received from our team and we will get back to you with an update.^HR
183561,Gotta love when @115830 say they tried to deliver a parcel and they didn't. https://t.co/TanWbd6nqM,@159168 I am sorry to hear this - we do aim to meet the delivery date provided in the order confirmation email  ^TD
183247,This is the same @115830 order that said 'Order now for delivery on the 4th!' listed under 'Prime' ... Arriving Saturday 7th now. https://t.co/z1BQv7rN2S,@159095 Have you ordered from Amazon UK or Amazon IT? ^MC
180200,@115850  don't know which Algorithm is used here. buy 2@949 and buy 3@855.😑 https://t.co/IK1L8Uvty7,"@158400 In our constant efforts to provide the best deals to our customers, the prices may vary from seller to seller, time to time.^AU"
179728,Hi @115850 team. How do one change the billing address of an already placed order?,@158324 Once the order is placed we'll not be able to make any changes to the order. 1/2 ^MM
180426,@AmazonHelp There are too many items price show wrong on amazon website,"@158430 As informed earlier, we'll forward this to our concerned team to get this resolved. ^OS"
179672,"@AmazonHelp yes it does, i'm a german user and everytime i try to change the language the app freezes completely i tried it many times",@158315 Which movie are you trying to watch? Have you tried any troubleshooting steps such as uninstalling/reinstalling the app? ^KH
180940,"@AmazonHelp I preorder it earlier today, how long does the beta code normally take to come through?",@158502 You should receive it within 24 hours of placing your order. ^KH
183279,@AmazonHelp Twitter handle? Dont know how to fill it. Order ID: 402-5426426-4839518. Fed up of follow up. Escalation team fit for nothing but lies.,"@159101 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MM"
183658,I am not the BETA Token bae I perceived I was? @AmazonHelp @116089 https://t.co/j5McVlD3jC,"@159094 Hi, have you contacted EA for issues with the code? ^JJ"
180032,@AmazonHelp The link which you have provided makes no sense.,@158372 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB
